Siruta,Localitate,Judet,i_0_4,i_10_14,i_15_19,i_20_24,i_25_29,i_30_34,i_35_39,i_40_44,i_45_49,i_5_9,i_50_54,i_55_59,i_60_64,i_65_69,i_70_74,i_75_79,i_80_84,i_85
104485,Ogrezeni,GR,0.048,0.055,0.059,0.067,0.083,0.078,0.084,0.076,0.083,0.055,0.053,0.048,0.05,0.05,0.036,0.038,0.02,0.017
104519,Oinacu,GR,0.029,0.036,0.044,0.05,0.062,0.055,0.066,0.075,0.081,0.039,0.044,0.056,0.066,0.095,0.066,0.06,0.045,0.031
104546,Peris,IF,0.038,0.048,0.057,0.062,0.076,0.067,0.076,0.086,0.097,0.049,0.052,0.062,0.053,0.05,0.036,0.041,0.03,0.019
104582,Petrachioaia,IF,0.061,0.042,0.059,0.07,0.092,0.07,0.083,0.089,0.092,0.062,0.042,0.048,0.05,0.036,0.027,0.036,0.028,0.014
104635,Plataresti,CL,0.053,0.056,0.059,0.055,0.075,0.062,0.073,0.073,0.088,0.073,0.048,0.054,0.057,0.045,0.041,0.036,0.031,0.022
104680,Prundu,GR,0.044,0.06,0.064,0.06,0.07,0.055,0.069,0.08,0.073,0.049,0.048,0.051,0.059,0.071,0.042,0.049,0.034,0.022
104715,Putineiu,GR,0.044,0.047,0.049,0.047,0.071,0.065,0.075,0.06,0.068,0.048,0.053,0.07,0.071,0.047,0.047,0.054,0.047,0.035
104751,Radovanu,CL,0.027,0.045,0.044,0.048,0.058,0.051,0.064,0.084,0.091,0.032,0.043,0.058,0.065,0.067,0.057,0.078,0.051,0.036
104788,Rasuceni,GR,0.045,0.054,0.058,0.055,0.062,0.05,0.054,0.064,0.064,0.046,0.044,0.039,0.045,0.062,0.066,0.09,0.059,0.042
104831,Roata De Jos,GR,0.045,0.052,0.075,0.077,0.081,0.062,0.078,0.081,0.097,0.05,0.056,0.046,0.044,0.05,0.029,0.039,0.022,0.015
104886,Sarulesti,CL,0.065,0.074,0.066,0.068,0.087,0.069,0.075,0.07,0.078,0.073,0.039,0.046,0.037,0.033,0.028,0.044,0.034,0.015
104975,Schitu,GR,0.035,0.047,0.05,0.051,0.062,0.049,0.061,0.06,0.076,0.054,0.051,0.05,0.046,0.069,0.059,0.077,0.059,0.043
105026,Sinesti,IL,0.061,0.068,0.054,0.06,0.081,0.061,0.083,0.07,0.077,0.079,0.035,0.049,0.044,0.041,0.037,0.045,0.031,0.026
105106,Singureni,GR,0.053,0.047,0.055,0.061,0.069,0.061,0.068,0.078,0.078,0.05,0.05,0.055,0.052,0.058,0.048,0.053,0.038,0.026
105142,Slobozia Moara,DB,0.037,0.051,0.055,0.068,0.086,0.055,0.072,0.076,0.118,0.037,0.051,0.043,0.047,0.057,0.039,0.046,0.034,0.03
105160,Snagov,IF,0.046,0.041,0.05,0.059,0.087,0.074,0.09,0.089,0.099,0.045,0.053,0.058,0.052,0.046,0.034,0.035,0.025,0.016
105222,Sohatu,CL,0.039,0.054,0.065,0.047,0.064,0.053,0.066,0.074,0.073,0.049,0.043,0.034,0.04,0.056,0.061,0.08,0.062,0.041
105259,Spantov,CL,0.057,0.069,0.062,0.064,0.091,0.062,0.073,0.071,0.088,0.071,0.041,0.054,0.044,0.045,0.032,0.035,0.025,0.016
105295,Stanesti,GR,0.042,0.041,0.054,0.056,0.059,0.053,0.063,0.08,0.085,0.042,0.05,0.062,0.055,0.062,0.049,0.06,0.048,0.039
105348,Stoenesti,GR,0.03,0.049,0.051,0.059,0.054,0.059,0.059,0.074,0.08,0.039,0.046,0.047,0.042,0.071,0.068,0.075,0.057,0.043
105384,Soldanu,CL,0.056,0.064,0.063,0.066,0.072,0.062,0.076,0.082,0.084,0.07,0.04,0.038,0.048,0.045,0.045,0.043,0.026,0.02
105419,Stefanestii De Jos,IF,0.077,0.047,0.049,0.058,0.105,0.107,0.114,0.08,0.078,0.071,0.035,0.045,0.043,0.031,0.016,0.018,0.015,0.012
105455,Tamadau Mare,CL,0.058,0.062,0.068,0.057,0.081,0.071,0.078,0.074,0.081,0.055,0.044,0.063,0.043,0.036,0.035,0.045,0.034,0.016
105534,Tartasesti,DB,0.05,0.057,0.059,0.063,0.082,0.061,0.073,0.081,0.099,0.056,0.044,0.052,0.054,0.047,0.035,0.035,0.03,0.023
105570,Tunari,IF,0.063,0.055,0.046,0.057,0.091,0.086,0.104,0.091,0.082,0.062,0.034,0.049,0.052,0.045,0.025,0.024,0.017,0.017
105605,Ulmeni,CL,0.041,0.054,0.052,0.053,0.088,0.068,0.084,0.079,0.087,0.05,0.043,0.059,0.059,0.052,0.039,0.046,0.028,0.018
